Wavelength (nm),T
704.00,4.37994E-01
705.00,9.48174E-01
706.00,7.09531E-01
707.00,9.25314E-02
708.00,2.26118E-02
709.00,8.03193E-03
710.00,3.59628E-03
711.00,1.90676E-03
712.00,1.16146E-03
713.00,8.01152E-04
714.00,6.22895E-04
715.00,5.47685E-04
716.00,5.50993E-04
717.00,6.48851E-04
718.00,9.2901E-04
719.00,1.69262E-03
720.00,3.54016E-03
721.00,3.90179E-03
722.00,2.34604E-03
723.00,1.74257E-03
724.00,1.40103E-03
725.00,5.39264E-04
726.00,1.41406E-04
727.00,4.43305E-05
728.00,1.72295E-05
729.00,7.94665E-06
730.00,4.20202E-06
731.00,2.4918E-06
732.00,1.63532E-06
733.00,1.1796E-06
734.00,9.33713E-07
735.00,8.14158E-07
736.00,7.90642E-07
737.00,8.74738E-07
738.00,1.15514E-06
739.00,2.03107E-06
740.00,6.81857E-06
741.00,1.36397E-03
742.00,4.21514E-06
743.00,1.00737E-06
744.00,4.35572E-07
745.00,2.48624E-07
746.00,1.69871E-07
747.00,1.33472E-07
748.00,1.18622E-07
749.00,1.18816E-07
750.00,1.34875E-07
751.00,1.75678E-07
752.00,2.65583E-07
753.00,4.52818E-07
754.00,7.22273E-07
755.00,8.27793E-07
756.00,8.83965E-07
757.00,1.72882E-06
758.00,4.45223E-05
759.00,3.58692E-07
760.00,5.72676E-08
761.00,1.6521E-08
762.00,6.30652E-09
763.00,2.86438E-09
764.00,1.47214E-09
765.00,8.32436E-10
766.00,5.09009E-10
767.00,3.3278E-10
768.00,2.30852E-10
769.00,1.69047E-10
770.00,1.30231E-10
771.00,1.05338E-10
772.00,8.9383E-11
773.00,7.95793E-11
774.00,7.44146E-11
775.00,7.31944E-11
776.00,7.58053E-11
777.00,8.2487E-11
778.00,9.31533E-11
779.00,1.05163E-10
780.00,1.09574E-10
781.00,9.58588E-11
782.00,6.95991E-11
783.00,4.57157E-11
784.00,2.9612E-11
785.00,1.97532E-11
786.00,1.37671E-11
787.00,1.00463E-11
788.00,7.66027E-12
789.00,6.08487E-12
790.00,5.02084E-12
791.00,4.29313E-12
792.00,3.79694E-12
793.00,3.46872E-12
794.00,3.27036E-12
795.00,3.18062E-12
796.00,3.19064E-12
797.00,3.30214E-12
798.00,3.52752E-12
799.00,3.89165E-12
800.00,4.43512E-12
801.00,5.21068E-12
