wav,flux
3203.0,8.9697499018455
3204.0,9.247738206826746
3205.0,9.708109795087207
3206.0,9.618100605049381
3207.0,9.623154235683685
3208.0,9.597297931904004
3209.0,9.075237485973005
3210.0,8.41363140373013
3211.0,7.939925497807728
3212.0,7.477462787226135
3213.0,7.26281634692986
3214.0,7.199975521911527
3215.0,7.198951222766292
3216.0,7.700871059985232
3217.0,8.020907955427463
3218.0,8.181810251215856
3219.0,8.762754242135454
3220.0,8.668629876372188
3221.0,8.59096574471651
3222.0,8.505142709709427
3223.0,8.034628786066701
3224.0,8.104727042571747
3225.0,8.25568229270884
3226.0,7.559958260388009
3227.0,7.048019337154805
3228.0,6.866011946012318
3229.0,6.670364069261332
3230.0,6.71385240035607
3231.0,7.0007197664804615
3232.0,7.5682856956511255
3233.0,7.8773250175812795
3234.0,7.751407607572218
3235.0,7.547165644626495
3236.0,7.8155800470804495
3237.0,8.043683597874146
3238.0,8.448253205864914
3239.0,9.014819085632306
3240.0,8.948753213664125
3241.0,9.49246203999322
3242.0,9.64005103221326
3243.0,9.532533345946751
3244.0,9.582807810432763
3245.0,9.586881825214753
3246.0,9.75524422658726
3247.0,9.637861077720572
3248.0,9.001196649489094
3249.0,8.71590651843327
3250.0,8.910700871961877
3251.0,9.117730060609599
3252.0,9.359933543228323
3253.0,9.74712009649872
3254.0,10.01700756090684
3255.0,10.258408756189667
3256.0,11.205862216794362
3257.0,11.642942118839652
3258.0,11.822517680476114
3259.0,12.202130070387382
3260.0,12.626052504232469
3261.0,12.652039453312783
3262.0,12.547426102002087
3263.0,12.627256806187585
3264.0,12.601581118514225
3265.0,12.117515595643848
3266.0,11.98608920164457
3267.0,12.510916712191712
3268.0,12.652792748089315
3269.0,12.693535193826765
3270.0,12.558073515188054
3271.0,12.198591387856233
3272.0,11.692139454527702
3273.0,11.789210902252542
3274.0,12.095806446582605
3275.0,12.07931652568924
3276.0,12.29171508011521
3277.0,11.909630328919365
3278.0,11.542466306414887
3279.0,11.229299825379378
3280.0,10.82235348448456
3281.0,10.947291528826105
3282.0,11.153876297559833
3283.0,11.046812545874964
3284.0,11.209984122023236
3285.0,11.35591122921693
3286.0,11.117284123834255
3287.0,10.772408170221611
3288.0,10.763002592639628
3289.0,11.448658923625901
3290.0,12.452076383837335
3291.0,13.436202891197457
3292.0,13.591867300919386
3293.0,13.75263271648606
3294.0,14.177436855893415
3295.0,14.416230947725284
3296.0,14.279325973458263
3297.0,14.448309582285265
3298.0,14.48896457125205
3299.0,14.119228945125988
3300.0,14.118072183253767
3301.0,14.338870379633029
3302.0,13.924369690840848
3303.0,12.965142994953457
3304.0,12.60427706735635
3305.0,12.382535145522413
3306.0,11.72066566897725
3307.0,11.089331006267063
3308.0,11.350623709359127
3309.0,11.831351436183128
3310.0,11.983805545149215
3311.0,12.031528649415508
3312.0,12.234924645147105
3313.0,12.088156618451594
