Wavelength,T
827,97.85100222
828,97.97930121
829,97.59140015
830,97.92590141
831,98.31209779
832,98.49439859
833,98.6018002
834,98.30260277
835,98.69070053
836,97.73960114
837,97.52240181
838,98.51830006
839,98.02700281
840,98.4826982
841,99.03569818
842,97.66770005
843,97.68409729
844,98.43360186
845,98.63690138
846,97.66970277
847,97.32969999
848,98.47059846
849,99.56650138
850,98.74370098
851,98.32749963
852,97.5259006
853,97.90409803
854,93.78309846
855,81.98689818
856,35.73949933
857,19.43400055
858,5.648770183
859,2.200949937
860,0.865568966
861,0.256417994
862,0.126523001
863,0.0595238
864,0.031080001
865,0.0211381
866,0.00729969
867,0.0070264
868,0.00113917
869,0.00499754
870,0.00349467
871,0.00639056
872,9.5E-05
873,0.0015495
874,9.5E-05
875,9.5E-05
876,9.5E-05
877,0.00245272
878,0.0089634
879,9.5E-05
880,9.5E-05
881,9.5E-05
882,0.000151926
883,9.5E-05
884,9.5E-05
885,9.5E-05
886,9.5E-05
887,9.5E-05
888,9.5E-05
889,0.000103009
890,9.5E-05
891,9.5E-05
892,0.000138711
893,0.000126271
894,0.00015405
895,0.000191531
896,0.000206469
897,0.000296076
898,0.000232673
899,0.000220391
900,0.00021912
901,0.000218952
902,0.000145088
903,0.000128239
904,0.000125943
905,9.5E-05
906,9.5E-05
907,9.5E-05
908,9.60329E-05
909,0.000122153
910,0.000143404
911,0.000200421
912,0.000292137
913,0.000458014
914,0.000595593
915,0.000691806
916,0.000671763
917,0.000581227
918,0.000409268
919,0.000274246
920,0.000208285
921,0.000115518
922,0.00012666
923,0.000102406
924,0.000125507
925,0.000185321
926,0.000146772
927,0.000197004
928,0.000212109
929,0.000207584
930,0.000181437
931,0.000116229
932,9.85084E-05
933,9.5E-05
934,9.5E-05
935,9.5E-05
936,0.000123419
937,0.000236946
938,0.000221604
939,0.000239327
940,9.5E-05
941,9.5E-05
942,9.5E-05
943,9.5E-05
944,9.5E-05
945,9.5E-05
946,9.5E-05
947,9.5E-05
948,9.5E-05
949,9.5E-05
950,9.5E-05
951,9.5E-05
952,9.5E-05
953,9.5E-05
954,9.5E-05
955,9.5E-05
956,9.5E-05
957,9.5E-05
958,9.5E-05
959,9.5E-05
960,9.5E-05
961,9.5E-05
962,9.5E-05
963,9.5E-05
964,9.5E-05
965,9.5E-05
966,9.5E-05
967,9.5E-05
968,9.5E-05
969,9.5E-05
