Wavelength(nm),T,OD
988,2.63E-03,4.58001
989,3.08E-03,4.51118
990,2.99E-03,4.52395
991,2.74E-03,4.56156
992,2.59E-03,4.58749
993,2.54E-03,4.59563
994,2.55E-03,4.59355
995,2.58E-03,4.58772
996,2.66E-03,4.57555
997,2.82E-03,4.54951
998,3.05E-03,4.51567
999,3.01E-03,4.52196
1000,2.29E-03,4.64081
