Wavelength,T
1100,0.0011915
1101,0.00123502
1102,0.00125043
1103,0.00120691
1104,0.00116419
1105,0.00104803
1106,0.000968467
1107,0.000865743
1108,0.000779902
1109,0.000711707
1110,0.00065639
1111,0.000588854
1112,0.00055694
1113,0.000534232
1114,0.000491394
1115,0.00050385
1116,0.000482598
1117,0.000469165
1118,0.000486961
1119,0.00050447
1120,0.000495944
1121,0.000534939
1122,0.000556471
1123,0.000591399
1124,0.000648884
1125,0.000681561
1126,0.000707345
1127,0.000734375
1128,0.000768498
1129,0.000762874
1130,0.000731878
1131,0.000728706
1132,0.00066839
1133,0.000635286
1134,0.000564095
1135,0.000503673
1136,0.000460426
1137,0.000429246
1138,0.00042074
1139,0.000375883
1140,0.00034233
1141,0.000335034
1142,0.000329947
1143,0.00029857
1144,0.000290239
1145,0.000318473
1146,0.000309228
1147,0.000299145
1148,0.000304038
1149,0.000326745
1150,0.00033369
1151,0.00036177
1152,0.000375162
1153,0.000394241
1154,0.000433223
1155,0.000471055
1156,0.000549943
1157,0.000627057
1158,0.000680137
1159,0.000751602
1160,0.000887582
1161,0.00100834
1162,0.00114469
1163,0.00128904
1164,0.00137679
1165,0.00144787
1166,0.00146101
1167,0.00145315
1168,0.00136927
1169,0.00128368
1170,0.00117489
1171,0.00109154
1172,0.000999732
1173,0.000933266
1174,0.00085198
1175,0.000792492
1176,0.000747815
1177,0.000706945
1178,0.000665444
1179,0.000691671
1180,0.000627969
1181,0.000617371
1182,0.000626693
1183,0.000615328
1184,0.000648599
1185,0.000655248
1186,0.000681464
1187,0.000706707
1188,0.000753128
1189,0.000773855
1190,0.000850253
1191,0.000911041
1192,0.000984587
1193,0.00107943
1194,0.00120759
1195,0.00133311
1196,0.00150516
1197,0.00171297
1198,0.00199449
1199,0.00227757
1200,0.00269987
1201,0.00604903
