# Argus telescope layout: A170r_1200 (1200 telescopes)
# Generated by argus_array_layout.py
#
# Coordinate system: right-handed, y = UP; x = azimuth 0 deg, z = azimuth 90 deg.
# Positions are the TELESCOPE-BASE CENTERLINE for the current truss pseudofocal
#   layout: radius = (pf - mount_h) * tan(zen), which makes each sight line pass
#   through the point (0, pf_ft, 0) on the array axis.  pf is shared per ring GROUP
#   (each subarray has a main-ring value and a central-ring value, so two
#   convergence points per subarray -- see the pf_ft column).
#
# Columns:
#   tel_id     - telescope index, stable within this layout (generation order, 0..N-1)
#   subarray   - subarray/mount number 0-7. circular_split2x_3rad: 0-5 main 3-radial x 2-azimuth
#                interleave, 6-7 central rings. mod4_optB: 2*type + parity, type = ring mod 4.
#   ring_n     - radial ring index n_r; pointing zenith = 1.0 + ring_n * 2.392494495 deg
#   az_n       - azimuth index within the FULL ring (all subarrays; even/odd indices
#                alternate between the ring's two subarrays)
#   az_deg     - STATION BEARING of the telescope base [deg] (x = r cos az, z = r sin az), uniform around
#                each ring starting at 0. Because every sight line passes through the pseudofocal point on
#                the axis ABOVE the array, the SKY POINTING azimuth is az_deg + 180 (the coverage code
#                places footprints there).
#   alt_deg    - pointing altitude [deg] = 90 - zen_deg
#   zen_deg    - pointing zenith distance [deg] from the array axis
#   pf_ft      - pseudofocal radius of this telescope's subarray [ft]; the subarray's
#                sight lines converge at height pf_ft on the array axis
#   mount_h_ft - mount (base) height above the table datum [ft]
#   radius_ft  - horizontal distance from the array axis to the base centerline [ft],
#                = (pf_ft - mount_h_ft) * tan(zen_deg)
#   x_ft       - base-centerline x [ft] = radius_ft * cos(az_deg)
#   y_ft       - base-centerline height [ft] = mount_h_ft
#   z_ft       - base-centerline z [ft] = radius_ft * sin(az_deg)
tel_id,subarray,ring_n,az_n,az_deg,alt_deg,zen_deg,pf_ft,mount_h_ft,radius_ft,x_ft,y_ft,z_ft
444,0,13,0,92.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-0.3909,1.7156,8.9529
445,0,13,2,102.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-1.9396,1.7156,8.7490
446,0,13,4,112.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-3.4294,1.7156,8.2793
447,0,13,6,122.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-4.8150,1.7156,7.5580
448,0,13,8,132.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-6.0543,1.7156,6.6071
449,0,13,10,142.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-7.1096,1.7156,5.4554
450,0,13,12,152.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-7.9489,1.7156,4.1379
451,0,13,14,162.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-8.5467,1.7156,2.6948
452,0,13,16,172.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-8.8848,1.7156,1.1697
453,0,13,18,182.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-8.9529,1.7156,-0.3909
454,0,13,20,192.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-8.7490,1.7156,-1.9396
455,0,13,22,202.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-8.2793,1.7156,-3.4294
456,0,13,24,212.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-7.5580,1.7156,-4.8150
457,0,13,26,222.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-6.6071,1.7156,-6.0543
458,0,13,28,232.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-5.4554,1.7156,-7.1096
459,0,13,30,242.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-4.1379,1.7156,-7.9489
460,0,13,32,252.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-2.6948,1.7156,-8.5467
461,0,13,34,262.5000,57.8976,32.1024,16.0000,1.7156,8.9615,-1.1697,1.7156,-8.8848
462,0,13,36,272.5000,57.8976,32.1024,16.0000,1.7156,8.9615,0.3909,1.7156,-8.9529
463,0,13,38,282.5000,57.8976,32.1024,16.0000,1.7156,8.9615,1.9396,1.7156,-8.7490
464,0,13,40,292.5000,57.8976,32.1024,16.0000,1.7156,8.9615,3.4294,1.7156,-8.2793
465,0,13,42,302.5000,57.8976,32.1024,16.0000,1.7156,8.9615,4.8150,1.7156,-7.5580
466,0,13,44,312.5000,57.8976,32.1024,16.0000,1.7156,8.9615,6.0543,1.7156,-6.6071
467,0,13,46,322.5000,57.8976,32.1024,16.0000,1.7156,8.9615,7.1096,1.7156,-5.4554
468,0,13,48,332.5000,57.8976,32.1024,16.0000,1.7156,8.9615,7.9489,1.7156,-4.1379
469,0,13,50,342.5000,57.8976,32.1024,16.0000,1.7156,8.9615,8.5467,1.7156,-2.6948
470,0,13,52,352.5000,57.8976,32.1024,16.0000,1.7156,8.9615,8.8848,1.7156,-1.1697
471,0,13,54,2.5000,57.8976,32.1024,16.0000,1.7156,8.9615,8.9529,1.7156,0.3909
472,0,13,56,12.5000,57.8976,32.1024,16.0000,1.7156,8.9615,8.7490,1.7156,1.9396
473,0,13,58,22.5000,57.8976,32.1024,16.0000,1.7156,8.9615,8.2793,1.7156,3.4294
474,0,13,60,32.5000,57.8976,32.1024,16.0000,1.7156,8.9615,7.5580,1.7156,4.8150
475,0,13,62,42.5000,57.8976,32.1024,16.0000,1.7156,8.9615,6.6071,1.7156,6.0543
476,0,13,64,52.5000,57.8976,32.1024,16.0000,1.7156,8.9615,5.4554,1.7156,7.1096
477,0,13,66,62.5000,57.8976,32.1024,16.0000,1.7156,8.9615,4.1379,1.7156,7.9489
478,0,13,68,72.5000,57.8976,32.1024,16.0000,1.7156,8.9615,2.6948,1.7156,8.5467
479,0,13,70,82.5000,57.8976,32.1024,16.0000,1.7156,8.9615,1.1697,1.7156,8.8848
588,0,15,0,92.3077,53.1126,36.8874,17.0000,1.7832,11.4199,-0.4598,1.7832,11.4106
589,0,15,2,101.5385,53.1126,36.8874,17.0000,1.7832,11.4199,-2.2843,1.7832,11.1891
590,0,15,4,110.7692,53.1126,36.8874,17.0000,1.7832,11.4199,-4.0495,1.7832,10.6778
591,0,15,6,120.0000,53.1126,36.8874,17.0000,1.7832,11.4199,-5.7099,1.7832,9.8899
592,0,15,8,129.2308,53.1126,36.8874,17.0000,1.7832,11.4199,-7.2225,1.7832,8.8459
593,0,15,10,138.4615,53.1126,36.8874,17.0000,1.7832,11.4199,-8.5479,1.7832,7.5728
594,0,15,12,147.6923,53.1126,36.8874,17.0000,1.7832,11.4199,-9.6520,1.7832,6.1035
595,0,15,14,156.9231,53.1126,36.8874,17.0000,1.7832,11.4199,-10.5061,1.7832,4.4762
596,0,15,16,166.1538,53.1126,36.8874,17.0000,1.7832,11.4199,-11.0880,1.7832,2.7330
597,0,15,18,175.3846,53.1126,36.8874,17.0000,1.7832,11.4199,-11.3829,1.7832,0.9189
598,0,15,20,184.6154,53.1126,36.8874,17.0000,1.7832,11.4199,-11.3829,1.7832,-0.9189
599,0,15,22,193.8462,53.1126,36.8874,17.0000,1.7832,11.4199,-11.0880,1.7832,-2.7330
600,0,15,24,203.0769,53.1126,36.8874,17.0000,1.7832,11.4199,-10.5061,1.7832,-4.4762
601,0,15,26,212.3077,53.1126,36.8874,17.0000,1.7832,11.4199,-9.6520,1.7832,-6.1035
602,0,15,28,221.5385,53.1126,36.8874,17.0000,1.7832,11.4199,-8.5479,1.7832,-7.5728
603,0,15,30,230.7692,53.1126,36.8874,17.0000,1.7832,11.4199,-7.2225,1.7832,-8.8459
604,0,15,32,240.0000,53.1126,36.8874,17.0000,1.7832,11.4199,-5.7099,1.7832,-9.8899
605,0,15,34,249.2308,53.1126,36.8874,17.0000,1.7832,11.4199,-4.0495,1.7832,-10.6778
606,0,15,36,258.4615,53.1126,36.8874,17.0000,1.7832,11.4199,-2.2843,1.7832,-11.1891
607,0,15,38,267.6923,53.1126,36.8874,17.0000,1.7832,11.4199,-0.4598,1.7832,-11.4106
608,0,15,40,276.9231,53.1126,36.8874,17.0000,1.7832,11.4199,1.3765,1.7832,-11.3366
609,0,15,42,286.1538,53.1126,36.8874,17.0000,1.7832,11.4199,3.1772,1.7832,-10.9690
610,0,15,44,295.3846,53.1126,36.8874,17.0000,1.7832,11.4199,4.8956,1.7832,-10.3173
611,0,15,46,304.6154,53.1126,36.8874,17.0000,1.7832,11.4199,6.4872,1.7832,-9.3984
612,0,15,48,313.8462,53.1126,36.8874,17.0000,1.7832,11.4199,7.9108,1.7832,-8.2360
613,0,15,50,323.0769,53.1126,36.8874,17.0000,1.7832,11.4199,9.1295,1.7832,-6.8604
614,0,15,52,332.3077,53.1126,36.8874,17.0000,1.7832,11.4199,10.1118,1.7832,-5.3071
615,0,15,54,341.5385,53.1126,36.8874,17.0000,1.7832,11.4199,10.8322,1.7832,-3.6163
616,0,15,56,350.7692,53.1126,36.8874,17.0000,1.7832,11.4199,11.2720,1.7832,-1.8319
617,0,15,58,0.0000,53.1126,36.8874,17.0000,1.7832,11.4199,11.4199,1.7832,0.0000
618,0,15,60,9.2308,53.1126,36.8874,17.0000,1.7832,11.4199,11.2720,1.7832,1.8319
619,0,15,62,18.4615,53.1126,36.8874,17.0000,1.7832,11.4199,10.8322,1.7832,3.6163
620,0,15,64,27.6923,53.1126,36.8874,17.0000,1.7832,11.4199,10.1118,1.7832,5.3071
621,0,15,66,36.9231,53.1126,36.8874,17.0000,1.7832,11.4199,9.1295,1.7832,6.8604
622,0,15,68,46.1538,53.1126,36.8874,17.0000,1.7832,11.4199,7.9108,1.7832,8.2360
